16_wpf_data_ID1_3_[(300, 288)]_hs32_nl2_zs64_ssam50_zsam50_bf50_ep700_lr0.001_dr0.01_sf0.0002
result:test>>>step:288, mse:0.34495037743645507,mae:0.4034854258251023,mape:946492656771527.9

16_wpf_data_ID1_3_[(600, 576)]_hs32_nl2_zs64_ssam50_zsam100_bf50_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:576, mse:0.3316523837350158,mae:0.36867937279679536,mape:353141756319047.0

64_wpf_data_ID1_3_[(150, 144)]_hs32_nl2_zs64_ssam50_zsam100_bf50_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:144, mse:0.5187935517980934,mae:0.5266293500865241,mape:431697898022108.9

64_wpf_data_ID1_3_[(80, 72)]_hs32_nl2_zs64_ssam50_zsam100_bf50_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.6728861327441577,mae:0.6309978768465642,mape:2354273358295689.0

64_wpf_data_ID1_3_[(80, 72)]_hs32_nl2_zs64_ssam10_zsam10_bf50_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.6274150848119164,mae:0.5919296019813522,mape:4921498889514593.0

64_wpf_data_ID1_3_[(80, 72)]_hs32_nl2_zs64_ssam10_zsam10_bf50_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.5562116996308015,mae:0.562676056849581,mape:3569556417561397.5

32_wpf_data_ID1_3_[(80, 72)]_hs8_nl2_zs16_ssam10_zsam10_bf50_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.7336401139168889,mae:0.6474011792173473,mape:1895038445862797.8

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam10_zsam10_bf50_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.79075156909075,mae:0.6870155157198703,mape:620001446227399.6

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam10_zsam10_bf50_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.7533321573697674,mae:0.6404946563428006,mape:1060704689047404.4

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam100_zsam100_bf50_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.7053612498604888,mae:0.6331821991485441,mape:1778575524921724.5

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam100_zsam100_bf50_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.7208351327234658,mae:0.6442193667902052,mape:1436812130951497.8

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam10_zsam10_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.5725220102982387,mae:0.5641420747959106,mape:2388344137498313.5

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam10_zsam10_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.5811413319628188,mae:0.5690544423655244,mape:2331290335109745.5

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam10_zsam10_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.537547600805614,mae:0.5592624830715237,mape:1822313948931177.5

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam10_zsam10_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.5404197747541587,mae:0.5608680502235891,mape:1844202991262541.2

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam10_zsam10_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.6286074147851909,mae:0.586178491714547,mape:-1263156430369079.0

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam10_zsam10_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.6276477153645185,mae:0.57037263720728,mape:-1489164962182150.2

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam10_zsam10_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.7245186173433005,mae:0.6411971424968573,mape:258.656567010059

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam10_zsam10_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.7269197647869784,mae:0.6416934655817075,mape:274.05869567564486

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam20_zsam20_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.6312406604453348,mae:0.6061861549388734,mape:187.23804825865662

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam20_zsam20_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.632325709752339,mae:0.5726469139896493,mape:216.53710597883054

16_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam20_zsam20_bf10_ep700_lr0.0005_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.6828078929635047,mae:0.6218723718507373,mape:222.63513562041877

16_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs32_ssam20_zsam20_bf10_ep700_lr0.0005_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.6654187852457201,mae:0.6158682448558774,mape:231.35873675051948

32_wpf_data_ID1_3_[(80, 72)]_hs32_nl2_zs32_ssam20_zsam20_bf20_ep700_lr0.0005_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.6403973650917676,mae:0.5915290242263812,mape:352.0453437473521

32_wpf_data_ID1_3_[(80, 72)]_hs32_nl2_zs32_ssam20_zsam20_bf20_ep700_lr0.0005_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.6230922130180148,mae:0.5765540659462537,mape:331.3912377858305

64_wpf_data_ID1_3_[(80, 72)]_hs32_nl2_zs32_ssam20_zsam20_bf10_ep700_lr0.0005_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.7191867855319891,mae:0.6277656983651841,mape:212.46150047172523

64_wpf_data_ID1_3_[(80, 72)]_hs32_nl2_zs32_ssam20_zsam20_bf10_ep700_lr0.0005_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.7759463812507872,mae:0.6480771763934496,mape:223.62386474266222

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl3_zs16_ssam20_zsam20_bf10_ep700_lr0.0005_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.7078314770902725,mae:0.6302766227298425,mape:212.0891336135554

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl3_zs16_ssam20_zsam20_bf10_ep700_lr0.0005_dr0.01_sf0.0002  
